Ticker;Score;Name;Price ($);ROE (%);P/E;NetDebt/EBITDA;Current Ratio;Revenue Growth;Free Cash Flow
HUM;5;HUM;263,555;7,16;24,7;-2,38;2,024;11,1;1578249984
ZBRA;5;ZBRA;249,51;14,29;25,1;1,34;1,607;5,2;710499968
CRH;5;CRH;126,2;14,49;25,2;2,26;1,453;5,3;1544499968
DE;5;DE;469,5868;20,43;25,4;6,7;2,262;12,6;2737125120
DOV;5;DOV;196,28;15,88;25,6;0,86;2,042;4,8;1207432064
MCK;5;MCK;824,74;0;25,8;0,91;0,88;10,1;6109749760
MDT;5;MDT;95,96;9,82;26;2,17;2,415;6,6;3947000064
WDC;5;WDC;184,8147;29,71;26;0;1,213;0;4158874880
BEN;5;BEN;23,7803;3,82;26,1;0,16;4,097;6;688124992
PNR;5;PNR;105,29;17,97;26,8;1,45;1,462;2,9;663275008
CMI;5;CMI;520,58;22,77;27;0,97;1,769;-1,6;1640249984
EXPE;5;EXPE;280,7;53,89;27,1;0,15;0,744;8,7;2561874944
PEP;5;PEP;142,65;37,16;27,2;2,48;0,912;2,7;7137500160
NXPI;5;NXPI;220,54;20,87;27,2;2,07;2,375;-2,4;1663374976
CTVA;5;CTVA;67,44;6,71;27,3;0,48;1,578;12,6;2547749888
AON;5;AON;346,16;37,69;27,7;3,03;1,058;7,4;1896499968
BLK;5;BLK;1081,44;12,07;27,8;0,27;2,256;25,2;6554749952
NDSN;5;NDSN;240,505;16,21;28,3;2,24;1,639;1;548284864
IEX;5;IEX;179,18;12,2;28,4;1,46;2,934;10,1;562675008
LIN;5;LIN;427,95;17,98;28,7;1,63;0,823;3,1;3498374912
HUBB;5;HUBB;463,4;24,99;29;1,09;1,358;4,1;513700000
TDY;5;TDY;514,04;8,13;29,8;1,38;1,787;6,7;664387520
HOLX;5;HOLX;74,5513;11,12;29,9;0,31;3,754;6,2;807699968
TT;5;TT;396,85;37,21;30,3;0,83;1,205;5,5;1928337536
CAT;5;CAT;595,215;46,28;30,6;2,5;1,384;9,5;6289375232
MSI;5;MSI;382,37;115,17;30,7;2,7;1,027;7,8;1947500032
GOOGL;5;GOOGL;313,681;35,45;30,9;-0,37;1,747;15,9;47997751296
GOOG;5;GOOG;313,9443;35,45;31;-0,37;1,747;15,9;47997751296
VRTX;5;VRTX;451,04;22,31;31,8;-0,94;2,362;11;2913550080
ABNB;5;ABNB;133,12;30,78;31,8;-3,41;1,392;9,7;3233625088
AMZN;5;AMZN;226,3166;24,33;31,9;0,47;1,009;13,4;26080000000
FTNT;5;FTNT;77,765;228,04;32;-0,94;1,027;14,4;1709100032
ETN;5;ETN;326,755;20,65;32,7;1,75;1,28;10,1;2315500032
CMG;5;CMG;37,505;44,96;33,2;1,52;1,542;7,5;1142371328
MSFT;5;MSFT;472,92;32,24;33,6;0,11;1,401;18,4;53327376384
TJX;5;TJX;153,1625;58,4;33,8;1,08;1,094;7,5;3411375104
V;5;V;347,205;52,07;34;0,25;1,078;11,5;20072873984
VRSK;5;VRSK;221,59;268,13;34;1,87;1,193;5,9;901662528
QCOM;5;QCOM;172,9;23,34;34,5;0,39;2,816;10;6856249856
WAT;5;WAT;377,9;32,99;34,8;1,01;1,534;8;450262752
MA;5;MA;564,09;184,86;36,1;0,42;1,122;16,7;16258499584
AAPL;5;AAPL;270,17;171,42;36,3;0,4;0,893;7,9;78862254080
DXCM;5;DXCM;66,315;30,64;36,8;-0,73;1,565;21,6;783387520
JBL;5;JBL;236,295;47,82;37;0,78;0,989;18,7;1228249984
ECL;5;ECL;261,95;21,87;37,6;1,47;1,697;17,8;1397549952
NFLX;5;NFLX;91,055;42,86;38,1;0,6;1,332;17,2;23363989504
FAST;5;FAST;40,495;32,74;38,2;0,13;4,259;11,7;761350016
WMT;5;WMT;112,33;23,66;39,3;1,35;0,803;5,8;10372750336
KLAC;5;KLAC;1260,4341;99,17;39,6;0,25;2,692;13;2757365760
LRCX;5;LRCX;180,9496;62,26;39,9;-0,32;2,207;27,7;4278629376
CTAS;5;CTAS;185,28;43,4;40;1,07;1,705;9,3;1546515584
MCO;5;MCO;500,7;54,91;40,3;1,45;1,84;10,7;2067750016
WST;5;WST;274,43;16,95;40,7;-0,41;2,87;7,7;251187504
KEYS;5;KEYS;205,03;15,82;40,8;0,75;2,35;10,3;1251250048
GE;5;GE;314,93;42,13;42;0,78;1,077;23,8;5170500096
FIX;5;FIX;996,63;43,84;42,2;-0,37;1,221;35,2;622054272
COR;5;COR;338,52;123,75;42,5;1,04;0,903;5,9;3283074560
TPL;5;TPL;293,4;39,37;42,6;-0,8;10,857;17;92442376
TTD;5;TTD;37,64;16,78;42,8;-1,73;1,71;17,7;543604096
INTU;5;INTU;626,66;21,99;43;0;1,386;41;5059874816
MNST;5;MNST;76,17;25,54;43,3;-1,01;3,185;16,8;1592852480
COST;5;COST;856,96;30,33;45,8;-0,69;1,038;8,3;7170250240
APH;5;APH;137,84;34,81;45,9;0,69;2,07;53,4;2328112384
NVDA;5;NVDA;189,89;107,36;46,9;-0,44;4,468;62,5;53282873344
ANET;5;ANET;133,58;31,74;50,8;-2,75;3,254;27,5;3268608000
ROK;5;ROK;395,71;20,28;51,7;1,83;1,135;13,8;1287250048
LLY;5;LLY;1070,77;96,47;52,4;1,14;1,546;53,9;1397924992
IDXX;5;IDXX;664;64,63;52,8;0,63;1,18;13,3;675227520
ADSK;5;ADSK;285,01;40,33;55,3;0,25;0,823;18;2541374976
HWM;5;HWM;208,525;30,06;58,4;1,2;2,353;13,8;910000000
AVGO;5;AVGO;348,49;31,05;72,9;0,84;1,705;16,4;25044125696
APP;5;APP;624,48;241,89;73,6;0,47;3,25;68,2;2517527296
ISRG;5;ISRG;558,6;16,9;74,2;-1,44;4,728;22,9;1966412544
CDNS;5;CDNS;308,11;21,74;79,4;-0,24;3,048;10,1;1384099840
PODD;5;PODD;281,95;19,68;82;0,62;2,871;29,9;215337504
NOW;5;NOW;147,55;16,81;89,4;-1,2;1,063;21,8;3909874944
CVNA;5;CVNA;398,54;68,15;90,8;1,53;4,047;54,5;57250000
TPR;5;TPR;127,86;16,05;96,9;2,1;1,525;13,1;867637504
LYV;5;LYV;145,545;56,36;105,5;1,21;0,921;11,1;2466385152
GEV;5;GEV;675,521;16,72;110;-2,2;1,029;11,8;2413625088
PANW;5;PANW;178,85;15,32;113,2;-2,73;0,985;15,7;3034449920
PLTR;5;PLTR;169,59;19,5;394,4;-7,08;6,427;62,8;1180160000
APA;4;APA;25,04;27,43;6;0,71;0,775;-16,4;3169250048
ALL;4;ALL;204,47;34,47;6,6;-0,16;0,426;3,8;6504249856
T;4;T;24,63;19,14;8;3,15;1,013;1,6;10321250304
EIX;4;EIX;60,91;15,77;8;5,38;0,82;10,6;-1180499968
GL;4;GL;139;22,28;10,1;1,71;0,695;4;1392902912
TRV;4;TRV;284,775;19,81;11,2;0,22;0,338;4,8;14582375424
UAL;4;UAL;113,1;25,59;11,3;2,23;0,667;2,6;2282625024
F;4;F;13,3089;10,29;11,4;13,57;1,121;9,4;3968624896
DVA;4;DVA;114,595;61,62;11,8;4,51;1,363;4,8;956624000
DHI;4;DHI;145,18;14,32;12,5;0,65;6,421;-3,2;2173700096
CB;4;CB;309,06;13,64;12,9;1,38;0,38;9,1;12573875200
XYZ;4;XYZ;65,095;14,69;13,1;-0,41;2,183;2,3;241061248
PFE;4;PFE;25,09;10,6;14,6;1,92;1,282;-5,9;14302749696
MTCH;4;MTCH;31,89;0;14,9;2,92;1,41;2,1;872391488
LW;4;LW;41,93;23,16;15,2;3,14;1,433;1,1;614587520
RJF;4;RJF;162,915;17,67;15,8;999;2,118;7;
BRK-B;4;BRK-B;495,51;10,17;15,9;-2,45;2,722;2,1;48615874560
CLX;4;CLX;101,04;443,65;15,9;2,38;0,759;-18,9;861625024
BIIB;4;BIIB;175,76;9,31;16;0,77;2,716;2,8;2137600000
KMB;4;KMB;101,66;136,88;17,2;1,72;0,773;0,1;1400875008
EQT;4;EQT;53,16;8,49;17,3;1,53;0,578;51,4;1615665408
MPC;4;MPC;164,835;18,89;17,5;3,8;1,315;-0,8;1757750016
XOM;4;XOM;121,985;11,42;17,7;0,46;1,137;-5,1;17292750848
IVZ;4;IVZ;26,635;6,9;18,1;0,52;0,617;8,2;761225024
MS;4;MS;179,89;15,14;18,5;999;2,266;19,1;
RCL;4;RCL;282,1199;46,68;19;3,27;0,165;5,2;633249984
HAL;4;HAL;29,255;12,79;19,4;1,56;1,955;-1,7;1968625024
ESS;4;ESS;255,68;15,99;19,4;5,39;0,457;6,2;943816256
SYY;4;SYY;72,71;83,46;19,5;3,08;1,148;3,2;1612000000
UNP;4;UNP;232,015;41,62;19,7;2,57;0,748;2,5;4491375104
DRI;4;DRI;187,6;54,1;19,7;4,09;0,394;7,3;628675008
BLDR;4;BLDR;105,745;13,56;20,1;2,99;1,786;-6,9;764492224
PG;4;PG;141,68;31,9;20,7;1;0,714;3;12200999936
BALL;4;BALL;53,16;11,75;20,7;3,53;1,105;9,6;128125000
APO;4;APO;146,37;16,55;21,3;999;1,986;26,4;
GPC;4;GPC;124,32;16,99;21,4;3,09;1,137;4,9;259586496
CVX;4;CVX;154,975;7,32;21,8;0,9;1,152;-1,4;15743875072
PCAR;4;PCAR;111,42;14,15;21,8;1,81;5,69;-19;539500032
STLD;4;STLD;175;12,55;23,1;1,56;3,107;11,2;-151584752
KVUE;4;KVUE;17,365;13,47;23,2;2,25;0,98;-3,5;1753374976
DG;4;DG;135,83;16,45;23,5;4,85;1,171;4,6;1971688448
DD;4;DD;40,63;3,22;23,5;2,23;2,002;7,3;-1093124992
NUE;4;NUE;168,84;9,01;23,7;1,03;2,774;14,5;-737886976
BRO;4;BRO;78,3117;10,7;23,7;3,69;1,182;34,2;1204625024
KIM;4;KIM;20;5,67;24,1;6,31;1,587;5,6;845290112
HSIC;4;HSIC;76,725;8,35;24,2;3,27;1,396;5,2;285124992
LH;4;LH;251,525;10,14;24,7;3,05;1,551;8,6;1123149952
AXP;4;AXP;371,23;33,94;25;999;1,602;12,2;
AKAM;4;AKAM;85,2541;10,64;25;3,5;2,281;5;565246016
MMM;4;MMM;161,29;72,92;25,7;1,3;1,842;3,5;-489875008
CME;4;CME;269,5;13,35;26,1;0,27;1,021;-3;2836375040
SPG;4;SPG;183,25;82,46;26,7;5,44;0,592;8,2;2034491136
PSA;4;PSA;257,88;19,93;26,8;2,88;0,269;3,1;2303450112
HRL;4;HRL;23,41;6;26,9;1,9;2,466;1,5;288031264
WYNN;4;WYNN;121,21;0;26,9;5,61;1,757;8,3;1633731584
GNRC;4;GNRC;140,93;11,97;26,9;1,74;2,183;-5;227941872
SW;4;SW;39,495;4,1;27,1;2,97;1,482;4,3;1226499968
AMT;4;AMT;175,24;28,84;27,9;6,4;0,59;7,7;4248437504
AMCR;4;AMCR;8,385;7,47;27,9;6;1,042;71,3;413124992
VRSN;4;VRSN;240,13;0;28;1,04;0,527;7,3;794837504
GEN;4;GEN;26,365;25,03;29;4,16;0,505;25,3;1076625024
INVH;4;INVH;27,635;6;29,1;5,48;1,544;6,5;1083813760
YUM;4;YUM;150;0;29,2;4,06;1,694;8,4;1227624960
ROP;4;ROP;434;8,15;29,9;2,99;0,577;14,3;2175612416
AMAT;4;AMAT;266,85;35,51;30,8;-0,17;2,61;-3,5;3653250048
CAH;4;CAH;205,01;0;30,9;1,25;0,957;22,4;4700624896
EPAM;4;EPAM;202,62;10,21;30,9;-1,56;3,022;19,4;568759616
WAB;4;WAB;215,18;11,15;31,3;2,22;1,424;8,4;1084999936
PH;4;PH;888,4801;27,29;31,7;1,89;1,066;3,7;3098715904
ODFL;4;ODFL;158,37;25,06;31,9;0,02;1,204;-4,3;742697600
TXN;4;TXN;176,64;29,76;32,2;1,13;4,45;14,2;-684249984
LHX;4;LHX;299,895;9,13;32,3;2,82;1,144;6,9;2759375104
AME;4;AME;208,03;14,63;32,8;1,02;1,155;10,8;1368788736
CHRW;4;CHRW;162,24;34,32;32,8;1,57;1,585;-10,9;741496256
EMR;4;EMR;135,345;9,36;33,6;2,42;0,876;5,1;2741250048
JBHT;4;JBHT;195,355;15,13;33,9;1,18;0,867;-0,5;354205888
CRM;4;CRM;256,09;12,18;34,1;0,03;0,984;8,6;14523750400
BKNG;4;BKNG;5293,455;0;34,4;0,13;1,334;12,7;6635874816
WM;4;WM;218,431;29,33;34,4;3,19;0,843;14,9;1471250048
VMC;4;VMC;292,03;13,52;34,5;2,03;2,231;14,4;931337472
IBM;4;IBM;290,22;30,16;34,6;3,44;0,932;9,1;11757500416
MTD;4;MTD;1404,58;0;35,1;1,81;1,075;7,9;740551360
XYL;4;XYL;136,7619;8,55;35,2;0,48;1,957;7,8;960000000
EXE;4;EXE;109,86;6,12;35,3;0,98;0,81;319,3;2199749888
MSCI;4;MSCI;565,7;0;35,8;2,97;0,882;9,5;1095833472
STE;4;STE;249,465;10,13;35,8;1,12;2,37;9,9;968027264
STX;4;STX;284,24;0;36,5;1,56;0,979;21,3;754875008
NKE;4;NKE;63,075;17,95;36,9;0,77;2,063;0,6;2576624896
EW;4;EW;84,74;13,49;37,2;-1,76;4,004;14,7;524500000
SPGI;4;SPGI;515,52;11,99;37,5;1,37;0,974;8,8;4847499776
TEL;4;TEL;231,985;14,62;37,6;1,22;1,556;16,7;2103874944
RTX;4;RTX;184,91;10,7;37,9;2,4;1,073;11,9;4316125184
CEG;4;CEG;369,81;19,84;42,4;0,85;1,563;0,3;3059000064
SYK;4;SYK;348,61;14,04;45,7;2,09;1,849;10,2;3544375040
BSX;4;BSX;94,47;12,49;50,5;2,12;1,508;20,3;3065125120
ROL;4;ROL;59,11;36,21;55,2;0,93;0,773;12;605310528
GLW;4;GLW;89,335;12,74;57,3;2,22;1,556;20,9;1098875008
IR;4;IR;79,715;5,38;59;1,86;2,162;5,1;1151687552
APTV;4;APTV;77,86;3,29;59;2,04;1,793;7,4;1664000000
ADI;4;ADI;271,44;6,57;59,5;1,06;2,19;25,9;3904020224
TYL;4;TYL;435,705;9,17;60,8;-0,67;1,028;9,7;474560640
PWR;4;PWR;439,41;13,37;65,1;2,2;1,344;17,5;708255488
TER;4;TER;204,34;15,77;74,3;-0,05;1,759;4,3;322310016
WDAY;4;WDAY;203,225;7,34;86,1;-2,52;1,829;12,6;2698874880
AMD;4;AMD;220,725;5,32;115,6;-0,56;2,308;35,6;3245499904
ABBV;4;ABBV;229,375;137,96;172,5;2,14;0,725;9,1;20799000576
AXON;4;AXON;559,55;10,03;176;-4,86;3,124;30,6;248673872
TSLA;4;TSLA;441,2707;6,79;306,4;-2,59;2,066;11,6;2979249920
DDOG;4;DDOG;133,09;3,52;429,3;-459,6;3,663;28,4;838500736
CSGP;4;CSGP;66,06;0,25;1101;-5,09;3,121;20,4;113800000
TTWO;4;TTWO;252,625;-86,61;;1,82;1,154;31,1;1480199936
SNDK;4;SNDK;267,655;-16,18;;0,23;3,288;22,6;1164125056
CNC;4;CNC;41,86;-21,86;;-0,42;1,084;21,5;4424000000
HAS;4;HAS;82,46;-62,84;;2,6;1,705;8,3;460337504
